Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id,runtime_minutes,imdbRating_clean,imdbVotes_clean,Metascore_clean,Year_clean
Chup Chup Ke,2006,Not Rated,09 Jun 2006,164 min,"Comedy, Drama, Romance","Priyadarshan, Kookie Gulati","Priyadarshan, Neeraj Vora, Meccartin","Shahid Kapoor, Kareena Kapoor, Om Puri","A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BMTg3MTMzNjUwOF5BMl5BanBnXkFtZTcwODgxODMzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,7.0,"13,541",tt0464160,movie,,"$334,618",,,tt0464160,164.0,7.0,13541.0,,2006
Michael Clayton,2007,R,12 Oct 2007,119 min,"Crime, Drama, Mystery",Tony Gilroy,Tony Gilroy,"George Clooney, Tilda Swinton, Tom Wilkinson","A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit.",English,United States,Won 1 Oscar. 28 wins & 114 nominations total,https://m.media-amazon.com/images/M/MV5BMTc0NTU5MjI2MV5BMl5BanBnXkFtZTcwMTg5NTQzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82.0,7.2,"180,233",tt0465538,movie,,"$49,033,882",,,tt0465538,119.0,7.2,180233.0,82.0,2007
The Other Boleyn Girl,2008,PG-13,29 Feb 2008,115 min,"Biography, Drama, History",Justin Chadwick,"Peter Morgan, Philippa Gregory","Natalie Portman, Scarlett Johansson, Eric Bana",Two sisters contend for the affection of King Henry VIII.,English,"United Kingdom, United States",3 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2NTg1Mjk1Ml5BMl5BanBnXkFtZTYwODI5Njk3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50.0,6.7,"124,552",tt0467200,movie,,"$26,814,957",,,tt0467200,115.0,6.7,124552.0,50.0,2008
Brother's Shadow,2006,,29 Apr 2006,91 min,Drama,Todd S. Yellin,"Ivan Krim, Todd S. Yellin","Scott Cohen, Katie Danziger, Lisa Emery","Jake Groden is the black sheep of his family. Ankle deep in fish guts, he serves out his parole in Alaska. Then, after a decade of self-imposed exile, he is forced to return to his Brooklyn family. He soon discovers that his perfe...",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTI2NzczNDMxOV5BMl5BanBnXkFtZTcwNjM2ODIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,170,tt0468458,movie,,,,,tt0468458,91.0,6.1,170.0,,2006
Sir! No Sir!,2005,Not Rated,24 Sep 2009,85 min,"Documentary, History, War",David Zeiger,David Zeiger,"Michael Alaimo, Edward Asner, Joe Bangert",NO! SIR! tells an almost entirely forgotten story of the military men and women who forced the U.S. government to end the Vietnam War,English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjA4NDAxNDA2NV5BMl5BanBnXkFtZTcwNDU4MjYzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.0,7.6,832,tt0469589,movie,,"$116,944",,,tt0469589,85.0,7.6,832.0,74.0,2005
World Trade Center,2006,PG-13,09 Aug 2006,129 min,"Drama, History, Thriller",Oliver Stone,"Andrea Berloff, John McLoughlin, Donna McLoughlin","Nicolas Cage, Michael Peña, Maria Bello",Two Port Authority police officers become trapped under the rubble of the World Trade Center.,English,"Germany, United States",4 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTIxMzE5ODEwOV5BMl5BanBnXkFtZTcwMzM3MzIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,6.0,"90,158",tt0469641,movie,,"$70,278,893",,,tt0469641,129.0,6.0,90158.0,66.0,2006
The Smurfs,2011,PG,29 Jul 2011,103 min,"Animation, Adventure, Comedy",Raja Gosnell,"J. David Stem, David N. Weiss, Jay Scherick","Hank Azaria, Neil Patrick Harris, Jayma Mays","When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",English,"United States, Belgium, Canada",2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNzQxNDYyNTQtYjg1OC00OGJiLTk2YjMtZjZjZDgwOWFlOTJjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,5.4,"102,729",tt0472181,movie,,"$142,614,158",,,tt0472181,103.0,5.4,102729.0,30.0,2011
Jaane Tu... Ya Jaane Na,2008,,04 Jul 2008,155 min,"Comedy, Drama, Romance",Abbas Tyrewala,Abbas Tyrewala,"Imran Khan, Genelia Deshmukh, Manjari Fadnnis",Two best friends being convinced that they are not in love search for each other's love.,Hindi,India,14 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BMWI1M2M3YTItMzRhNS00OWNhLThhOWMtMDA1NGZlMDBjMzg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",,7.4,"28,752",tt0473367,movie,,"$604,037",,,tt0473367,155.0,7.4,28752.0,,2008
Inuyasha the Movie 4: Fire on the Mystic Island,2004,Not Rated,20 Jul 2006,89 min,"Animation, Action, Adventure",Toshiya Shinohara,"Rumiko Takahashi, Katsuyuki Sumizawa","Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani",The past catches up with the world of Inuyasha and Kagome's present in a form they could never have anticipated.,Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BMTIwOTEwODQ2Nl5BMl5BanBnXkFtZTcwMTkzODQzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"2,058",tt0473658,movie,,,,,tt0473658,89.0,7.2,2058.0,,2004
"Hail, Caesar!",2016,PG-13,05 Feb 2016,106 min,"Comedy, Drama, Mystery","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Josh Brolin, George Clooney, Alden Ehrenreich",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,English,"United Kingdom, Japan, United States",Nominated for 1 Oscar. 14 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BYmE1NDE2ODUtZmVmNi00OTM3LWFkOTItZDE2NGUwMTM0YjIyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,6.3,"147,542",tt0475290,movie,,"$30,498,085",,,tt0475290,106.0,6.3,147542.0,72.0,2016
Bluffmaster,2005,Not Rated,16 Dec 2005,137 min,"Comedy, Crime, Drama",Rohan Sippy,"Rajat Arora, Shridhar Raghavan","Abhishek Bachchan, Priyanka Chopra Jonas, Riteish Deshmukh","A conman Roy, gets dumped by his girl-friend. Then he finds out he has a fatal disease. On the verge of death, he resolves to do some good, by helping his apprentice Dittu hoodwink the mobster who hurt his (Dittu's) family.",Hindi,India,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMjE4MGEzMmItZDIzYy00YmY0LTgzNjAtODY0MDc4OGM3MGJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,"6,831",tt0476527,movie,,"$718,956",,,tt0476527,137.0,6.6,6831.0,,2005
Naruto the Movie: Ninja Clash in the Land of Snow,2004,TV-14,06 Jun 2007,82 min,"Animation, Action, Adventure",Tensai Okamura,"Masashi Kishimoto, Katsuyuki Sumizawa","Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama",Naruto and his team are hired to protect a young actress from three rogue warriors in the Land of the Snow.,Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BYzZiNmI3MWYtYzA4YS00YjE4LWFhMzQtYzQ3MTE2MTcyOGM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,"9,114",tt0476680,movie,,,,,tt0476680,82.0,6.6,9114.0,,2004
Taxi No. 9 2 11: Nau Do Gyarah,2006,Not Rated,24 Feb 2006,116 min,"Comedy, Drama, Thriller",Milan Luthria,Rajat Arora,"John Abraham, Nana Patekar, Sonali Kulkarni",A cabbie (Patekar) and businessman (Abraham) both in need of big money partake in a two-hour adventure together.,Hindi,"India, United States, Canada",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTlkYjIxNGUtZjk1ZC00MmU1LWEzMDUtMWNhNDBkNDI5NDRkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,"11,237",tt0476884,movie,,"$292,794",,,tt0476884,116.0,7.3,11237.0,,2006
Premonition,2007,PG-13,16 Mar 2007,96 min,"Drama, Fantasy, Mystery",Mennan Yapo,Bill Kelly,"Sandra Bullock, Julian McMahon, Amber Valletta",A woman has a precognitive vision of her husband's death.,English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BZWFiMTdmZjMtODMyOC00NjUwLTg2ODAtMGFmNDBhZmFlYmZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29.0,5.9,"84,343",tt0477071,movie,,"$47,852,604",,,tt0477071,96.0,5.9,84343.0,29.0,2007
Frontiers of Dreams and Fears,2001,,08 Oct 2001,56 min,"Documentary, History",Mai Masri,,"Manar Faraj, Mona Zaaroura","Offering a rare glimpse into one side of the Middle East conflict, Frontiers of Dreams and Fears explores the lives of a group of Palestinian children growing up in refugee camps. The film focuses on two teenage girls, Mona and Ma...",Arabic,"Occupied Palestinian Territory, Lebanon, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BNjJkYTQ3MDItYzhlNy00NzllLWEyOTEtMjQ3NDU4YjNhNzBjXkEyXkFqcGdeQXVyNDM1Mjc2NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",,8.3,105,tt0477653,movie,,,,,tt0477653,56.0,8.3,105.0,,2001
21,2008,PG-13,28 Mar 2008,123 min,"Crime, Drama, Thriller",Robert Luketic,"Peter Steinfeld, Allan Loeb, Ben Mezrich","Jim Sturgess, Kate Bosworth, Kevin Spacey","Inspired by real events and people, 21 is about six MIT students who become trained to be experts in card counting in blackjack and subsequently took Vegas casinos for millions in winnings.",English,United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,6.8,"277,624",tt0478087,movie,,"$81,159,365",,,tt0478087,123.0,6.8,277624.0,48.0,2008
Bon Cop Bad Cop,2006,R,11 Aug 2006,117 min,"Action, Comedy, Crime",Erik Canuel,"Leila Basen, Alex Epstein, Patrick Huard","Michel Beaudry, Patrice Bélanger, Pierre Boudreau","Two Canadian detectives, one from Ontario and the other from Quebec, must work together when a murdered victim is found on the Ontario-Quebec border.","English, French",Canada,7 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMTU2NTkwMTcwM15BMl5BanBnXkFtZTcwNzIwNzE0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,6.7,"13,320",tt0479647,movie,,"$12,665,721",,,tt0479647,117.0,6.7,13320.0,,2006
Sivaji,2007,Not Rated,15 Jun 2007,188 min,"Action, Crime, Drama",S. Shankar,"Swanand Kirkire, S. Shankar, Sujatha","Rajinikanth, Shriya Saran, Suman",A software engineer comes to India in order to serve the nation and invest in its welfare. A few corrupt officials and politicians try to stop him while he tries to do good for the poor.,Tamil,India,13 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMmVlOTZmNWYtMDNlNC00MzE2LWFkN2MtYjJhOGNhNGUwMjk3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"22,307",tt0479751,movie,,,,,tt0479751,188.0,7.5,22307.0,,2007
Hall Pass,2011,R,25 Feb 2011,105 min,"Comedy, Romance","Bobby Farrelly, Peter Farrelly","Pete Jones, Peter Farrelly, Kevin Barnett","Owen Wilson, Jason Sudeikis, Christina Applegate","Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.",English,United States,,https://m.media-amazon.com/images/M/MV5BMTc4MzIxNTYwNl5BMl5BanBnXkFtZTcwNzE4MjE0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45.0,5.9,"134,621",tt0480687,movie,,"$45,060,734",,,tt0480687,105.0,5.9,134621.0,45.0,2011
Da Kath & Kim Code,2005,TV-14,27 Nov 2005,82 min,Comedy,Ted Emery,"Gina Riley, Jane Turner, Magda Szubanski","Jane Turner, Gina Riley, Glenn Robbins",Film adaptation of the Australian comedy series Kath and Kim.,English,Australia,2 nominations,https://m.media-amazon.com/images/M/MV5BZjJjZWUwZjktMmRhMy00NGFmLWEzZDItMzhmY2Y5NDA3YzFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,"1,151",tt0484275,movie,,,,,tt0484275,82.0,7.3,1151.0,,2005
Beerfest,2006,R,25 Aug 2006,110 min,Comedy,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme","Jay Chandrasekhar, Kevin Heffernan, Steve Lemme","Two brothers travel to Germany for Oktoberfest, only to stumble upon a secret, centuries-old competition described as a ""Fight Club"" with beer games.","English, German",United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTI4NzYyMDE0OF5BMl5BanBnXkFtZTcwOTIzODczMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,6.2,"72,796",tt0486551,movie,,"$19,185,184",,,tt0486551,110.0,6.2,72796.0,46.0,2006
First Sunday,2008,PG-13,11 Jan 2008,96 min,"Comedy, Crime, Drama",David E. Talbert,David E. Talbert,"Ice Cube, Katt Williams, Tracy Morgan","Two bungling, petty criminal BFFs try to rob a church, but someone from staff beat them to it. They spend the night with the church staff to get the money.",English,United States,,https://m.media-amazon.com/images/M/MV5BMjE4MTYzMTMxMl5BMl5BanBnXkFtZTYwNzc0Nzc4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,4.6,"12,073",tt0486578,movie,,"$37,931,869",,,tt0486578,96.0,4.6,12073.0,41.0,2008
Stardust,2007,PG-13,10 Aug 2007,127 min,"Adventure, Fantasy, Romance",Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Neil Gaiman","Charlie Cox, Claire Danes, Sienna Miller","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",English,"Iceland, United Kingdom, United States",5 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,7.6,"294,796",tt0486655,movie,,"$38,634,938",,,tt0486655,127.0,7.6,294796.0,66.0,2007
Dreamer,2005,,11 Sep 2005,98 min,Fantasy,,Martin George,"Ky Evans, Don Langley, Scott Satenspiel",A phobic man's dreams begin to come true.,English,United States,,,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,337,tt0487897,movie,,,,,tt0487897,98.0,7.1,337.0,,2005
Welcome,2007,Not Rated,21 Dec 2007,150 min,"Comedy, Crime, Drama","Anees Bazmee, Mayur K. Barot","Anees Bazmee, Rajeev Kaul, Praful Parekh","Akshay Kumar, Katrina Kaif, Nana Patekar","A man falls in love with a beautiful woman, but later discovers that her brothers are gangsters.",Hindi,India,2 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BYzMwYmEzYTktY2M4YS00Y2I0LTk3ODMtYTY4NjU3YWJhMzM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"27,760",tt0488798,movie,,,,,tt0488798,150.0,7.1,27760.0,,2007
Koi Aap Sa: But Lovers Have to Be Friends,2005,,14 Oct 2005,142 min,"Comedy, Drama, Romance",Partho Mitra,"Mahesh Pandey, Sameer, Dheeraj Sarna","Aftab Shivdasani, Anita Hassanandani Reddy, Dipannita Sharma","An emotional Mumbai-based football player, Rohan, seeks the assistance of childhood friend, Simran, to successfully woo fellow-collegian, Preeti. Simran herself is about to be engaged to U.S.-based Vicky. After the engagement cere...",Hindi,India,,https://m.media-amazon.com/images/M/MV5BMzdiNTA4ZDMtZDNjMi00N2NkLWJlZDItMjM2MTFjODc4MTkxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,309,tt0488840,movie,,,,,tt0488840,142.0,5.6,309.0,,2005
A Lion in the House,2006,Not Rated,28 Jul 2006,225 min,Documentary,"Steven Bognar, Julia Reichert",,"Justin Ashcraft, Adam Ashcraft, Dale Ashcraft",Five families struggle with the ups and downs of cancer treatment over the course of six years.,English,United States,Won 1 Primetime Emmy. 1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjEyNzY2MDQ5NV5BMl5BanBnXkFtZTgwMjc5OTkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,8.8,400,tt0492472,movie,,,,,tt0492472,225.0,8.8,400.0,,2006
My Suicide,2009,Not Rated,23 Sep 2011,107 min,"Comedy, Drama",David Lee Miller,"Eric J. Adams, David Lee Miller, Jordan J. Miller","Gabriel Sunday, David Carradine, Mariel Hemingway",A teen coming-of-age romantic dramedy about a media-obsessed geek and the most beautiful and twisted girl in school.,English,United States,13 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BOTRjZDFmNDQtODg1Yy00ZmNlLTkzMTAtOGI0NWJiNTQwZWVkXkEyXkFqcGdeQXVyMjQxNjIyMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",,7.0,"2,273",tt0492896,movie,,"$17,282",,,tt0492896,107.0,7.0,2273.0,,2009
Vivah,2006,Not Rated,10 Nov 2006,160 min,"Drama, Musical, Romance",Sooraj R. Barjatya,"Aash Karan Atal, Sooraj R. Barjatya, Raghvendra Singh","Shahid Kapoor, Amrita Rao, Anupam Kher","Poonam, a traditionally brought-up young woman, is to marry Prem, a groom chosen by her uncle. Poonam and Prem's faith and love are to be tested however, when an accident occurs and Poonam might be scarred for life.",Hindi,India,7 nominations,https://m.media-amazon.com/images/M/MV5BMDA4MTg0OGQtMmVmNS00MzYzLWExOWEtNzFiNGE1ZjQ0MmRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,"11,118",tt0494290,movie,,,,,tt0494290,160.0,6.7,11118.0,,2006
Bosta,2005,,15 Mar 2006,142 min,"Musical, War",Philippe Aractingi,Philippe Aractingi,"Rodney El Haddad, Nadine Labaki, Nada Abou Farhat","Fifteen years after a traumatic explosion in his native Beirut, Kamal Maf'ouss returns from France, where he was nationalized and become a composer-choreographer. He reassembles youth friends from his late pa's multicultural schoo...",Arabic,Lebanon,,https://m.media-amazon.com/images/M/MV5BMTI2MTQzMjMyNl5BMl5BanBnXkFtZTcwNDk3NDc0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,628,tt0497335,movie,,,,,tt0497335,142.0,6.4,628.0,,2005
Guru,2007,Not Rated,12 Jan 2007,166 min,Drama,Mani Ratnam,"Mani Ratnam, Vijay Krishna Acharya, Anurag Kashyap","Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan","A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",Hindi,India,18 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BNDgzMjliNDAtMGJkNy00ZTUzLWIyMTAtNWZkNmY2MDNiZjE3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70.0,7.7,"25,849",tt0499375,movie,,"$2,096,000",,,tt0499375,166.0,7.7,25849.0,70.0,2007
Jerry Seinfeld: 'I'm Telling You for the Last Time',1998,TV-14,09 Aug 1998,75 min,Comedy,Marty Callner,Jerry Seinfeld,"Jerry Seinfeld, Michael Barryte, Grace Bustos","Live from New York City, Jerry Seinfeld, aided and abetted by a host of friends and fellow comedians, performs his 1998 Emmy-nominated performance on Broadway.",English,United States,Nominated for 2 Primetime Emmys. 4 nominations total,https://m.media-amazon.com/images/M/MV5BNDM4OTY0NTAyMF5BMl5BanBnXkFtZTcwNTcxMDQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,"6,303",tt0500140,movie,,,,,tt0500140,75.0,7.8,6303.0,,1998
Friday the 13th,2009,R,13 Feb 2009,97 min,"Horror, Mystery, Thriller",Marcus Nispel,"Victor Miller, Damian Shannon, Mark Swift","Jared Padalecki, Amanda Righetti, Derek Mears",A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,English,United States,2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNTg1YzcwZDgtZmUzYi00NGI0LTlhN2YtNGMxZTI5MDc3ZmMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,5.5,"124,849",tt0758746,movie,,"$65,002,019",,,tt0758746,97.0,5.5,124849.0,34.0,2009
